,rewards
1280,-8.125
1281,-3.4375
1282,-6.875
1283,-11.25
1284,-0.0
1285,-3.75
1286,-1.875
1287,-0.0
1288,-12.1875
1289,-0.625
1290,-2.5
1291,-9.375
1292,-0.0
1293,-7.1875
1294,-8.125
1295,-2.8125
1296,-6.875
1297,-4.0625
1298,-2.5
1299,-4.0625
1300,-0.0
1301,-3.125
1302,-3.75
1303,-2.5
1304,-7.5
1305,-10.625
1306,-0.625
1307,-2.5
1308,-0.0
1309,-1.875
1310,-11.5625
1311,-8.125
1312,-7.8125
1313,-7.5
1314,-1.875
1315,-0.0
1316,-3.125
1317,-2.1875
1318,-6.5625
1319,-12.1875
1320,-2.5
1321,-0.0
1322,-3.4375
1323,-0.0
1324,-1.875
1325,-12.1875
1326,-2.1875
1327,-5.0
1328,-6.875
1329,-0.0
1330,-8.4375
1331,-1.5625
1332,-2.5
1333,-8.4375
1334,-3.75
1335,-2.1875
1336,-3.125
1337,-0.0
1338,-3.4375
1339,-0.625
1340,-1.875
1341,-1.875
1342,-5.3125
1343,-9.0625
1344,-4.0625
1345,-9.0625
1346,-3.75
1347,-2.8125
1348,-4.375
1349,-1.875
1350,-5.0
1351,-0.9375
1352,-0.0
1353,-1.875
1354,-3.4375
1355,-7.1875
1356,-7.1875
1357,-2.1875
1358,-0.0
1359,-5.0
1360,-2.8125
1361,-0.0
1362,-8.125
1363,-0.0
1364,-5.0
1365,-5.0
1366,-5.0
1367,-0.0
1368,-0.0
1369,-3.75
1370,-3.75
1371,-6.25
1372,-5.0
1373,-0.0
1374,-3.125
1375,-2.1875
1376,-3.4375
1377,-7.1875
1378,-2.1875
1379,-3.75
1380,-1.5625
1381,-3.4375
1382,-3.125
1383,-3.75
1384,-5.625
1385,-1.25
1386,-2.1875
1387,-2.5
1388,-3.125
1389,-4.6875
1390,-0.625
1391,-1.5625
1392,-2.5
1393,-4.0625
1394,-2.1875
1395,-5.0
1396,-3.4375
1397,-3.125
1398,-2.8125
1399,-4.0625
1400,-5.3125
1401,-4.6875
1402,-3.4375
1403,-5.3125
1404,-3.75
1405,-3.125
1406,-2.1875
1407,-3.4375
1408,-5.3125
1409,-2.8125
1410,-4.6875
1411,-5.625
1412,-2.1875
1413,-1.875
1414,-1.5625
1415,-2.1875
1416,-2.1875
1417,-1.25
1418,-2.5
1419,-7.8125
1420,-3.125
1421,-6.875
1422,-1.875
1423,-3.125
1424,-5.3125
1425,-0.0
1426,-5.0
1427,-1.875
1428,-1.5625
1429,-2.5
1430,-0.625
1431,-1.875
1432,-9.375
1433,-6.25
1434,-7.1875
1435,-2.8125
1436,-0.0
1437,-0.0
1438,-2.1875
1439,-1.875
1440,-9.0625
1441,-1.875
1442,-0.0
1443,-6.25
1444,-1.875
1445,-7.8125
1446,-10.9375
1447,-0.0
1448,-2.5
1449,-3.125
1450,-0.0
1451,-11.25
1452,-1.5625
1453,-4.375
1454,-0.9375
1455,-0.0
1456,-2.5
1457,-2.5
1458,-8.75
1459,-10.625
1460,-3.4375
1461,-1.875
1462,-3.75
1463,-2.1875
1464,-4.375
1465,-8.75
1466,-2.5
1467,-5.625
1468,-1.875
1469,-2.5
1470,-2.1875
1471,-1.25
1472,-4.6875
1473,-4.0625
1474,-5.0
1475,-4.0625
1476,-1.875
1477,-4.6875
1478,-0.0
1479,-3.125
1480,-3.75
1481,-3.4375
1482,-10.9375
1483,-4.375
1484,-1.875
1485,-2.5
1486,-2.5
1487,-1.875
1488,-7.1875
1489,-5.3125
1490,-2.5
1491,-4.0625
1492,-0.9375
1493,-1.875
1494,-4.6875
1495,-1.875
1496,-1.5625
1497,-5.3125
1498,-3.75
1499,-6.875
